12/30/12,"Aspen Skiing Company, Snowmass Village, CO 81611",Employee patrolling ski slopes killed during an avalanche.,Fatality
12/30/12,"Wal-Mart Associates Inc., Hermiston, OR 97838",Worker died after vehicle crashed during icy road conditions.,Fatality
12/28/12,"Environmental Enterprises Inc., Cincinnati, OH 45232",Employee died when chemicals from an industrial filter he was shredding ignited and exploded.,Fatality
12/28/12,"James Construction Group, Geismar, LA 70734",Construction worker died after falling 12 feet from a ladder.,Fatality
12/28/12,"RL Construction & Restoration Inc., Elmont, NY 11003",Employee died from injuries sustained after falling from a residential roof.,Fatality
12/27/12,"Grayhawk LLC, Phelps, KY 41553",Worker fell 18 feet from scaffold hitting post with left leg.  Worker was hospitalized but succumbed to injuries and died. ,Fatality
12/27/12,"Pope Douglas Solid Waste, Alexandria, MN 56308",Worker was crushed by a compactor after pressure developed during repairs.,Fatality
12/27/12,"Western & Fourth Car Wash, Los Angeles, CA 90020",Worker died from injuries sustained after being struck by a vehicle operated by another worker while exiting the car wash tunnel.,Fatality
12/26/12,"Justino Rodriguez, Houston, TX 77031",Employee died after falling 20 feet from a scaffold while framing a hotel window.,Fatality
12/24/12,"Alpine Meadows, Tahoe City, CA 96145",Worker died following injuries sustained from being caught in an avalanche.,Fatality
12/24/12,"Ken Plante's Tree Removal, Haverhill, MA 01830",Worker died after a large tree limb fell and crushed him.,Fatality
12/24/12,"W Webster Fire Department, Webster, NY 14580",Two workers were killed and two others were critically injuried after being shot while responding to a reported car and house fire.,Fatality
12/23/12,"Jerry Dean Oxendine, Edith H. Oxendine, Jerry Dean Oxendine II dba 710 Dragstrip,                                                                    Rowland, NC 28383",Worker died from burns suffered during a grease fire and explosion at fast-food restaurant.,Fatality
12/22/12,"Bimco Construction Services, Atlanta, GA 30312",Worker died after falling 16 feet from a ladder while painting an apartment building.,Fatality
