
1/24/2014,"The Anderson White Pigeon Grain, White Pigeon, MI 49099",Worker suffocated after falling  through hatch into  a railroad car filled with soybeans,Fatality
1/23/2014,"A-1 Florida Sod Inc., Mulberry, FL 33860",Worker died after being crushed in motorized equipment.,Fatality
1/23/2014,"Exterior Recovery, Inc., Raleigh, NC 27616",Worker died in fall while applying commercial siding.  ,Fatality
1/23/2014,"Romeo Dimon Marine Service Inc., Mattituck, NY 11952",Worker crushed by the bucket of a compact track loader.,Fatality
1/23/2014,"The Traffic Group Inc., Van Buren AR 72957",Worker struck and killed by motor vehicle.,Fatality
1/23/2014,"US Army Reserve-AMSA, Guaynabo, PR 00965",Forklift operator struck and killed by a fire extinguisher that exploded during disposal.  ,Fatality
1/22/2014,"International Paper, Bogalusa, LA 70427",Worker drowned when front end loader went into a water catchment basin.,Fatality
1/22/2014,"Linn Dale Logging, Pollock, TX 75969",Worker struck and killed by falling tree while performing logging work.,Fatality
1/22/2014,"Riddle Painting & Coatings, Phoenix, AZ 85009",Two workers killed when aerial lift tipped over.,Fatality
1/22/2014,"Weathercraft Co. of Colorado Springs, Colorado Springs, CO 80903",Worker struck and killed by a failed cable on an outside fire escape system.,Fatality
1/21/2014,"George B Stone Company, LLC, Wilmore, KY 40374",Worker struck and killed by motor vehicle.,Fatality
1/21/2014,"Global Pacific Environmental, Inc., White City, OR 97503",Worker crushed between wall and dump truck.,Fatality
1/21/2014,"Lineage LLC, Dacoma, OK 73731",Worker killed when his vehicle was struck by a train. ,Fatality
1/21/2014,"Sully Truck Wash, Inc., Sully, IA  50251",One worker died and two hospitalized after becoming trapped in a truck wash tank trailer. ,Fatality
1/20/2014,"7 Seas Seafood, Montebello, CA 90640",Worker crushed beneath car.,Fatality
1/20/2014,"Ball Cabinet Shop, New Braunfels, TX 78130",Worker killed in fall from scaffold. ,Fatality
1/20/2014,"El Dorado Livestock Auction, El Dorado, KS 67042",Worker died in fall from horse.,Fatality
1/20/2014,"International Nutrition Inc., Omaha, NE 68127",Two workers killed in structure collapse. ,Fatality
1/20/2014,"Kel-Log Inc., Errol, NH 03579",Worker struck and killed by semi-truck while installing snow chains on tires of company vehicle. ,Fatality
1/20/2014,"Lobar Inc., Windsor, PA 17366",Worker crushed under fallen switchgear. ,Fatality
1/20/2014,"Mid American Steel & Wire, Madill, OK 73446",Two workers killed in an electric arc furnace explosion.  ,Fatality
1/20/2014,"Rich Valley Farms Inc., Red Bud, IL 62278",Worker died after falling into grain bin filled with corn.,Fatality
1/18/2014,"Dement Construction Company, LLC,  Stanton, TN  38069",Worker crushed between aerial lift control panel and concrete beam. ,Fatality
1/18/2014,"Ground Earth Inc., Fall River,  MA 02721",Employer working under vehicle was crushed when it rolled over him.,Fatality
1/18/2014,"Precision Drilling Corporation, Rankin, TX 79778",Worker crushed between fallen section of derrick and wheel. ,Fatality
1/17/2014,"Crown Equipment Corp, Carmichael, CA 95608",Worker crushed by frame of forklift.,Fatality
1/17/2014,"Kansas Hardwoods Inc., Belvue, KS 66407",Worker struck and killed by tree while engaged in logging activities.,Fatality
1/17/2014,"Katz Transportation LLC, Piscataway, NJ 08854",Worker crushed by load of metal racks that fell from flatbed truck. ,Fatality
1/17/2014,"Sempervivum, Glen Ellen, CA 95442",Worker struck and killed by scraper tractor.,Fatality
1/16/2014,"Dawn Til Dusk, LLC, Toldeo, WA 98591",Worker struck and killed by falling trees.,Fatality
1/16/2014,"Ehret Roofing, Burlington, IA 52601",Worker died in fall from roof.,Fatality
1/16/2014,"Fire Stop Systems Inc., Miami Beach, FL 33139",Worker died in fall from scaffold. ,Fatality
1/16/2014,"Fred Loya Insurance, El Paso, TX 79935",Worker killed in motor vehicle collision.,Fatality
1/16/2014,"GLF Construction Corp., Lamont, FL 32336",Worker was crushed when a bridge panel fell on him during removal.,Fatality
1/16/2014,"Plant City Air, Saint Petersburg, FL 33711",Worker caulking holes died in fall from false ceiling.,Fatality
1/16/2014,"Sea Watch International LTD, New Bedford, MA 02740",Worker killed when his clothes became entangled in the rotating shaft of a shucking machine.,Fatality
1/16/2014,"Sunset Contractors & Recycling, Inc., Rio Piedras, PR 00925",Worker died in falll.,Fatality
1/16/2014,"Titanium Roofing, LLC, Honolulu, HI 96819",Worker died in fall through a skylight.,Fatality
1/15/2014,"Advanced Technical Staffing,  LaGrange, TN  38046",Worker struck and killed by tree while performing cutting operations.,Fatality
1/15/2014,"Forest Memorial Christian Church, Pittsburg, CA 94565",Worker killed in fall from roof while making repairs. ,Fatality
1/15/2014,"JM Test Systems, Refugio, TX 78377",Worker delivering equipment killed in vehicle collision.,Fatality
1/15/2014,"Riverview Materials, Riverdale, IL 60827",Worker killed when caught between moving conveyor and hopper wall.  ,Fatality
1/15/2014,"W.A. Chester LLC, Washington, DC 20016",Worker standing in back of truck was struck and killed by another vehicle.,Fatality
1/14/2014,"Allegheny Property Rental Management, LLC, Cumberland, MD 21502",One worker died and another hospitalized from carbon monoxide exposure.,Fatality
1/14/2014,"County Petroleum Products, Ferndale, NY 12734",Worker died in fall from top of fuel truck.,Fatality
1/14/2014,"Custom Gutters, Post Falls, ID 83854",Employer died in fall while preparing gutter installation. ,Fatality
1/14/2014,"M Z Flooring, Canyon Lake, TX 78133",Worker performing painting operations was killed in fall.,Fatality
1/14/2014,"Park Group Construction LLC, Cameron, LA 70631",Four carpenters were hospitalized after being shocked by power lines during scaffold setup.,Catastrophe
1/14/2014,"Summit Engineering Inc., Pikeville, KY 41501",Worker killed in motor vehicle collision.,Fatality
1/13/2014,"Danceworks Chicago Inc., Chicago, IL 60630",Dancer struck and killed by a steel aerial acrobatics ring during rehearsal.,Fatality
1/13/2014,"F.W. Kibler Milling Co. Inc., Mount Orab, OH 45154",Worker unloading a pallet from boom truck was killed when  forklift tipped over.,Fatality
1/13/2014,"Hirai Farms LLC, Wendell, ID 83355",Worker crushed between a semi-truck and a combine.,Fatality
1/13/2014,"J. H. Findorff & Son Inc., Madison, WI 53725",Worker died after falling from a scaffold.,Fatality
1/13/2014,"Lee's Transport Company Inc., Holden, WV 25625",Worker died in fall from flat bed trailer.,Fatality
1/13/2014,"Moorhead Brothers Inc., London, OH 43140",Worker struck and killed by a truck.,Fatality
1/13/2014,"Pirtle Farms, LP , Dexter, NM 88230",Worker struck and killed by falling corn silage.,Fatality
1/13/2014,"Skyline Roofing, Inc., St. George, UT 84770",Worker died in fall from roof.,Fatality
1/12/2014,"Auto Laundry Car Wash Corporation, Brooklyn, NY 11216",Worker struck and killed by motor vehicle.,Fatality
1/12/2014,"Maryland Environmental Service, Scotland, MD  20619",Worker killed in fall from ladder.,Fatality
1/11/2014,"TVEK Enterprises, Mingo Junction, OH 43938",Worker died after becoming caught in belt and pulley moving dirt pile.,Fatality
1/10/2014,"Dept. of Homeland Security Customs Border Patrol, Falfurrias, TX 78355",Three border patrol workers hospitalized when their helicopter made a hard-landing.,Catastrophe
